epochs,train_loss,val_loss,train_f1-score,val_f1-score
1,1.468217372894287,1.276869773864746,0.15053322911262512,0.10878190398216248
2,1.3603897094726562,1.3331687450408936,0.1450285166501999,0.13544192910194397
3,1.3535629510879517,1.2667053937911987,0.16676795482635498,0.11954152584075928
4,1.3291994333267212,1.269622802734375,0.1486300528049469,0.13287727534770966
5,1.328528642654419,1.2512801885604858,0.1648489236831665,0.12275813519954681
